,Item,Score,Target,administrativeClassification.prefLabel,budgetPhase.prefLabel,economicClassification.economicClassification,functionalClassification.prefLabel
0,55,3130.3120085113487,169.0,?/??? ???????? ??????,Reserved,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? ????? ?????????? & ????????? ???????
1,56,3121.9754918442077,168.5,?/??? ???????? ??????,Approved,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? ????? ?????????? & ????????? ???????
2,2,9.726075042101531,13562748.16,?/??? ????????? ?????????,Executed,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,??????????? ????????? ???????? ???????  ????? ????????
3,92,3.607334233802235,400000.0,?/??? ???????? ??????,Draft,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? ?????????-???????????
4,93,3.607334233802235,400000.0,?/??? ???????? ??????,Revised,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? ?????????-???????????
5,13,2.411893075076061,4300000.0,?/??? ????????? ?????????,Draft,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,??????????? ???? ?.?.?. ??? ??????????
6,24,2.411893075076061,4300000.0,?/??? ????????? ?????????,Revised,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,??????????? ???? ?.?.?. ??? ??????????
7,97,2.10921106646315,4000.0,?/??? ???????? ??????,Draft,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? ????????????? ???????????-????????? 
8,98,2.10921106646315,4000.0,?/??? ???????? ??????,Revised,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? ????????????? ???????????-????????? 
9,70,1.9242497410350892,5000.0,?/??? ???????? ??????,Draft,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? ????? ??????. & ????????? ??????? ???????? ????????????????
10,71,1.9242497410350892,5000.0,?/??? ???????? ??????,Revised,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? ????? ??????. & ????????? ??????? ???????? ????????????????
11,36,1.902340547957439,1122409.71,?/??? ???????? ??????,Executed,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? & ???????? ??????????? ????? ???
12,77,1.8243882052493583,4500.0,?/??? ???????? ??????,Reserved,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? ????????????? & ?????? ??????????
13,37,1.7713020677860027,2825000.0,?/??? ???????? ??????,Draft,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? & ???????? ?????? ???????????
14,64,1.6274931223222378,220000.0,?/??? ???????? ??????,Draft,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? ????? ?????????? & ????????? ????????????
15,65,1.6274931223222378,220000.0,?/??? ???????? ??????,Revised,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? ????? ?????????? & ????????? ????????????
16,18,1.6128272424591037,217973.37,?/??? ???????? ??????,Approved,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,?????????? & ???????? ??????
17,19,1.6128272424591037,217973.37,?/??? ???????? ??????,Executed,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,?????????? & ???????? ??????
18,3,1.5155528964550893,150000.0,?/??? ?????????????? ?????.,Executed,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,?????????? ??????????? ?????????? ??????? & ???? ??????? ???
19,57,1.5150850826313138,900000.0,?/??? ????????? ?????????,Executed,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,??????????? ???? ?.?.?. ??? ??????????
20,83,1.4984703236257602,1226389.0,?/??? ???????? ??????,Reserved,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? ?????????????
21,52,1.4633254886173572,80000.0,?/??? ???????? ??????,Executed,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,?????-????-???????? ???
22,39,1.4235817137427855,11600.0,?/??? ???????? ??????,Reserved,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? & ???????? ?????? ???????????
23,32,1.3874614293600775,2450000.0,?/??? ???????? ??????,Revised,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? & ???????? ??????????? ????? ???
24,38,1.377225679002053,2440000.0,?/??? ???????? ??????,Revised,http://data.openbudgets.eu/resource/codelist/kae-ota-exodwn-2014/missing,????????? & ???????? ?????? ???????????
