,Item,Score,Target,accountAssignmentElement.prefLabel,administrativeClassification.prefLabel,budgetPhase.prefLabel,businessArea.prefLabel,currency.currency,economicClassification.prefLabel,fiscalYear.prefLabel,functionalClassification.prefLabel,operationCharacter.prefLabel,organization.organization,profitCenter.prefLabel
0,97,339.6865849900652,453.86,Grundschulverbund MarienschuleNordschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2017,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
1,17,163.36944688280985,191.16,GGS Jahnschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2017,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
2,20,128.31603804837454,142.2,GGS Karlschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2017,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
3,18,8.447498432221328,306.72,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
4,0,7.594477687504928,940667.0,40-32 Medienzentrum,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
5,98,7.306811699785449,1086.38,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
6,87,5.156593254699056,579801.0,40-32 Medienzentrum,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
7,85,2.686340096167992,104534.0,Grundschulverbund MarienschuleNordschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2017,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
8,64,2.5580483310269,91831.5,Friedrich-List-Berufskolleg,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Z. gesetzl.SV f. tarifl. Beschäf.,2017,Berufskollegs,Expenditure,http://dbpedia.org/resource/Bonn,Berufskollegs
9,91,2.442337140535557,20973.9,Grundschulverbund MarienschuleNordschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Z. gesetzl.SV f. tarifl. Beschäf.,2017,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
10,86,2.3592726062927967,266683.0,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
11,94,1.9319638145495694,92.1,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beihilfen,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
12,93,1.9057181193656958,2527.52,Grundschulverbund MarienschuleNordschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beihilfen,2017,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
13,83,1.8260263067351235,134168.0,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
14,52,1.8172793403648373,132272.0,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
15,3,1.7260192711503757,205379.0,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
16,35,1.6001445319155914,140756.0,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
17,4,1.538116057787561,5836.4,GGS Jahnschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Versorg.kassen f. tarifl. Besch.,2017,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
18,90,1.4633642606710373,20635.8,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Versorg.kassen f. tarifl. Besch.,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
19,49,1.4521939418218575,10257.0,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Versorg.kassen f. tarifl. Besch.,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
20,80,1.4307376597006534,10404.2,Anteilstelle,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Versorg.kassen f. tarifl. Besch.,2017,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
