,Item,Score,Target,accountAssignmentElement.prefLabel,administrativeClassification.prefLabel,budgetPhase.prefLabel,businessArea.prefLabel,currency.currency,economicClassification.prefLabel,fiscalYear.prefLabel,functionalClassification.prefLabel,operationCharacter.prefLabel,organization.organization,profitCenter.prefLabel
0,2,1763597.3136567613,-45499.9,40-33 OGS-Büro,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2018,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
1,65,149518.30151833603,-3561.87,40-33 OGS-Büro,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Versorg.kassen f. tarifl. Besch.,2018,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
2,1,5542.56781414633,103.1,Endgerätebetreuung,IT-Betrieb,Approved,IT-Betrieb,http://data.openbudgets.eu/codelist/currency/EUR,AfA Betriebs- und Geschäftsausstattung,2018,IT-Betrieb,Expenditure,http://dbpedia.org/resource/Bonn,IT-Betrieb
3,26,1386.4261466186126,104.88,Paul-Martini-Schule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,FĂśrderschulen,Expenditure,http://dbpedia.org/resource/Bonn,Förderschulen
4,20,1386.416928230884,114.0,Derletalschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,FĂśrderschulen,Expenditure,http://dbpedia.org/resource/Bonn,Förderschulen
5,96,27.242609319514965,0.00488281,Behindertenangelegenheiten SG-Leitung,Amt für Soziales und Wohnen,Approved,Amt für Soziales und Wohnen,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2018,ProduktbereichsĂźbergreifend,Expenditure,http://dbpedia.org/resource/Bonn,Amt 50 PB-übergr.
6,84,24.414392760473266,0.00390625,SG Behindertenangel. allg. Mitarbeit,Amt für Soziales und Wohnen,Approved,Amt für Soziales und Wohnen,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2018,ProduktbereichsĂźbergreifend,Expenditure,http://dbpedia.org/resource/Bonn,Amt 50 PB-übergr.
7,66,23.00027000044657,0.00292969,Einglieder.Spätaussiedl. Ausgleichsabgab,Amt für Soziales und Wohnen,Approved,Amt für Soziales und Wohnen,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2018,ProduktbereichsĂźbergreifend,Expenditure,http://dbpedia.org/resource/Bonn,Amt 50 PB-übergr.
8,0,5.381984011953215,0.00195312,n.a.,Personal- und Organisationsamt,Approved,Amt für Organisation und IT,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2018,PB01 Innere Verwaltung,Expenditure,http://dbpedia.org/resource/Bonn,Amt 10 TE-übergr.
9,40,4.832160285391902,0.0,"""40-13 SEP",Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
10,52,2.8818444615447025,1061.28,GGS Carl-Schurz-Schule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
11,99,2.594448717830973,434.16,GGS Waldschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
12,24,2.592610429894255,373.2,Rheinschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,FĂśrderschulen,Expenditure,http://dbpedia.org/resource/Bonn,Förderschulen
13,33,2.5749942683635267,3025.2,Heinrich-Hertz-Berufskolleg,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Berufskollegs,Expenditure,http://dbpedia.org/resource/Bonn,Berufskollegs
14,77,2.5505432564736186,1000.92,Grundschulverbund MarienschuleNordschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
15,35,2.46260535395583,2673.24,Ludwig-Erhard-Berufskolleg,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Berufskollegs,Expenditure,http://dbpedia.org/resource/Bonn,Berufskollegs
16,79,2.4513428651190172,986.64,GGS Marktschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
17,32,2.410146975563692,2508.96,Friedrich-List-Berufskolleg,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Berufskollegs,Expenditure,http://dbpedia.org/resource/Bonn,Berufskollegs
18,36,2.3211708217093885,2230.32,Robert-Wetzlar-Berufskolleg,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Berufskollegs,Expenditure,http://dbpedia.org/resource/Bonn,Berufskollegs
19,73,2.076813982979429,455.28,GGS Kreuzbergschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
20,16,1.9128490715708022,2979.46,Wohnberatung,Amt für Soziales und Wohnen,Approved,Amt für Soziales und Wohnen,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Versorg.kassen f. tarifl. Besch.,2018,Soziale Einrichtungen,Expenditure,http://dbpedia.org/resource/Bonn,Soz. Einrichtungen
21,29,1.835098291031292,1308.6,Bertolt-Brecht-Gesamtschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Gesamtschulen,Expenditure,http://dbpedia.org/resource/Bonn,Gesamtschulen
22,46,1.8051872092689942,851.16,KGS Bernhardschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Zuf. zu Pensionsrückst. f. Versorg.empf.,2018,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
23,31,1.759207031269935,1279.56,Gesamtschule Bonn-Beuel,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Gesamtschulen,Expenditure,http://dbpedia.org/resource/Bonn,Gesamtschulen
24,30,1.6801576777822462,1227.84,Elisabeth-Selbert-Gesamtschule,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beih./Unterstützungsl. für Versorg.empf.,2018,Gesamtschulen,Expenditure,http://dbpedia.org/resource/Bonn,Gesamtschulen
