,Item,Score,Target,accountAssignmentElement.prefLabel,administrativeClassification.prefLabel,budgetPhase.prefLabel,businessArea.prefLabel,currency.currency,economicClassification.prefLabel,fiscalYear.prefLabel,functionalClassification.prefLabel,operationCharacter.prefLabel,organization.organization,profitCenter.prefLabel
0,2,110007494.03101794,25123.6,Amtsleitung und Sekretariat Amt 40,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Z. gesetzl.SV f. tarifl. Beschäf.,2019,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
1,65,1215013.5593345293,277.29,Amtsleitung und Sekretariat Amt 40,Schulamt,Approved,Schulamt,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2019,PB03 SchultrĂ¤geraufgaben,Expenditure,http://dbpedia.org/resource/Bonn,Amt 40 TE-übergr.
2,84,798115.6432555278,120.0,Mitarbeiter Ausstellungstechnik,Stadtmuseum,Approved,Stadtmuseum,http://data.openbudgets.eu/codelist/currency/EUR,Telekommunikationsleistungen,2019,Stadtmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Stadtmuseum
3,72,115246.2684093715,17.6,Mitarbeiter Ausstellungstechnik,Stadtmuseum,Approved,Stadtmuseum,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2019,Stadtmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Stadtmuseum
4,90,107794.06290563555,16.34,Vorzimmer,Stadtmuseum,Approved,Stadtmuseum,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2019,Stadtmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Stadtmuseum
5,16,5.83846829655786,261.45,Wissenschaftlicher Mitarbeiter,Stadtmuseum,Approved,Stadtmuseum,http://data.openbudgets.eu/codelist/currency/EUR,Pauschalierte Lohnsteuer,2019,Stadtmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Stadtmuseum
6,78,5.372812753605499,200.0,Mitarbeiter Ausstellungstechnik,Stadtmuseum,Approved,Stadtmuseum,http://data.openbudgets.eu/codelist/currency/EUR,Reisekosten,2019,Stadtmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Stadtmuseum
7,3,4.183275808117892,2071.54,Verwaltung / Finanzen,Stadtmuseum,Approved,Stadtmuseum,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Versorg.kassen f. tarifl. Besch.,2019,Stadtmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Stadtmuseum
10,59,2.8533138315687854,2994.36,Mitarbeiter Ausstellungstechnik,Stadtmuseum,Approved,Stadtmuseum,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Versorg.kassen f. tarifl. Besch.,2019,Stadtmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Stadtmuseum
11,34,2.731498114403825,75142.6,Wissenschaftlicher Mitarbeiter,Stadtmuseum,Approved,Stadtmuseum,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2019,Stadtmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Stadtmuseum
