,Item,Score,Target,administrativeClassification.prefLabel,budgetPhase.prefLabel,businessArea.prefLabel,costCenter.prefLabel,currency.currency,economicClassification.prefLabel,fiscalYear.prefLabel,functionalClassification.prefLabel,operationCharacter.prefLabel,organization.organization,profitCenter.prefLabel
0,22,157.23961949304578,-248000.0,Leistungszentrum Kunstmuseum,Approved,LZ Kunstmuseum,Einnahmensammler,http://data.openbudgets.eu/codelist/currency/EUR,Benutzungsgebühren,2022,Kunstmuseum,Revenue,http://dbpedia.org/resource/Bonn,Kunstmuseum
1,19,87.90430869701501,-65060.0,Leistungszentrum Kunstmuseum,Approved,LZ Kunstm. Cafeteria (BgA),Cafeteria (BgA),http://data.openbudgets.eu/codelist/currency/EUR,Erträge aus Mieten und Pachten,2022,Kunstmuseum,Revenue,http://dbpedia.org/resource/Bonn,Kunstmuseum
2,21,65.60902598744372,-13440.0,Leistungszentrum Kunstmuseum,Approved,LZ Kunstm. Buchhandlung (BgA),Buchhandlung (BgA),http://data.openbudgets.eu/codelist/currency/EUR,Erträge aus Mieten und Pachten,2022,Kunstmuseum,Revenue,http://dbpedia.org/resource/Bonn,Kunstmuseum
3,20,59.027536802961414,-35000.0,Leistungszentrum Kunstmuseum,Approved,LZ Kunstm. Buchhandlung (BgA),Buchhandlung (BgA),http://data.openbudgets.eu/codelist/currency/EUR,Erträge aus Verkauf,2022,Kunstmuseum,Revenue,http://dbpedia.org/resource/Bonn,Kunstmuseum
4,17,34.483128520613676,-5000.0,Leistungszentrum Kunstmuseum,Approved,Motivüberlassung (BgA),Motivüberlassung (BgA),http://data.openbudgets.eu/codelist/currency/EUR,Andere sonstige ordentliche Erträge,2022,Kunstmuseum,Revenue,http://dbpedia.org/resource/Bonn,Kunstmuseum
5,33,5.5710880535672125,63366.7,Schulamt,Approved,Schulamt,Konrad-Adenauer-Gymnasium,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2022,Gymnasien,Expenditure,http://dbpedia.org/resource/Bonn,Gymnasien
6,12,5.247180906697905,387955.0,Leistungszentrum Kunstmuseum,Approved,LZ Kunstmuseum,Leitung / Verwaltung,http://data.openbudgets.eu/codelist/currency/EUR,Vergütungen der tariflich Beschäftigten,2022,Kunstmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Kunstmuseum
7,1,4.158095927960106,250642.0,IT-Betrieb,Approved,IT-Betrieb,Endgerätebetreuung,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2022,IT-Betrieb,Expenditure,http://dbpedia.org/resource/Bonn,IT-Betrieb
8,52,4.103072697420549,2820.18,Schulamt,Approved,Schulamt,GGS Marktschule,http://data.openbudgets.eu/codelist/currency/EUR,Beitr. Z. gesetzl.SV f. tarifl. Beschäf.,2022,Grundschulen,Expenditure,http://dbpedia.org/resource/Bonn,Grundschulen
9,13,3.922406304776778,220926.0,Leistungszentrum Kunstmuseum,Approved,LZ Kunstmuseum,Leitung / Verwaltung,http://data.openbudgets.eu/codelist/currency/EUR,Bezüge der Beamten,2022,Kunstmuseum,Expenditure,http://dbpedia.org/resource/Bonn,Kunstmuseum
